og_setup_file,setup,setup_file,setup_file_count,setup_modified
C:\PioSOLVER\TreeBuilding\MINE\COvsBB.txt,COvsBB,F:\PioSOLVED\COvsBB\UpdatedScript.txt,1107.0,1653594262.3114772
C:\PioSOLVER\TreeBuilding\MINE\BTNvsBB.txt,BTNvsBB,F:\PioSOLVED\BTNvsBB\UpdatedScript.txt,992.0,1653594245.8273938
C:\PioSOLVER\TreeBuilding\MINE\UTGvsBB.txt,UTGvsBB,F:\PioSOLVED\UTGvsBB\UpdatedScript.txt,792.0,1663736625.4001465
C:\PioSOLVER\TreeBuilding\MINE\COvsMP3Bet.txt,COvsMP3Bet,F:\PioSOLVED\COvsMP3Bet\UpdatedScript.txt,727.0,1639535913.06884
C:\PioSOLVER\TreeBuilding\MINE\BTNvsCO3BET.txt,BTNvsCO3BET,F:\PioSOLVED\BTNvsCO3BET\UpdatedScript.txt,499.0,1650271796.6062224
C:\PioSOLVER\TreeBuilding\MINE\BTNvsUTGFlat.txt,BTNvsUTGFlat,F:\PioSOLVED\BTNvsUTGFlat\UpdatedScript.txt,192.0,1640584799.2249298
C:\PioSOLVER\TreeBuilding\MINE\BBvsCO3Bet.txt,BBvsCO3Bet,F:\PioSOLVED\BBvsCO3Bet\UpdatedScript.txt,94.0,1639032837.2852747
C:\PioSOLVER\TreeBuilding\MINE\SBvsBB.txt,SBvsBB,F:\PioSOLVED\SBvsBB\UpdatedScript.txt,50.0,1649559867.446975
C:\PioSOLVER\TreeBuilding\MINE\MPvsBB.txt,MPvsBB,F:\PioSOLVED\MPvsBB\UpdatedScript.txt,10.0,1663736598.916077
C:\PioSOLVER\TreeBuilding\MINE\BTNvsBB3Bet.txt,BTNvsBB3Bet,F:\PioSOLVED\BTNvsBB3Bet\UpdatedScript.txt,1.0,1647214065.7673745
C:\PioSOLVER\TreeBuilding\MINE\BTNvsMP3Bet.txt,BTNvsMP3Bet,F:\PioSOLVED\BTNvsMP3Bet\UpdatedScript.txt,1.0,1639535855.4196508
C:\PioSOLVER\TreeBuilding\MINE\COvsSB3Bet.txt,COvsSB3Bet,F:\PioSOLVED\COvsSB3Bet\UpdatedScript.txt,1.0,1639535934.9570982
C:\PioSOLVER\TreeBuilding\MINE\SBvsBB3Bet.txt,SBvsBB3Bet,F:\PioSOLVED\SBvsBB3Bet\UpdatedScript.txt,1.0,1648782963.368395
C:\PioSOLVER\TreeBuilding\MINE\UTGvsMP3Bet.txt,UTGvsMP3Bet,F:\PioSOLVED\UTGvsMP3Bet\UpdatedScript.txt,1.0,1663041684.7988412
